split,model,trainer,tag,lr,eff_b,mb,ga,epoch,checkpoint,checkpoint_step,FQ,MU,EM,ES,F-TR,Ra-TR,R-TR,Rw-TR,score,summary_path,eval_path
forget01,Llama-2-7b-chat-hf,NPO,lr1e-4_b16_mb4_ga4_e10,1e-4,16,4,4,10,checkpoint-3,3,0.404587405685253,0.4449443566071074,0.47373111695051195,0.05120522993570866,0.722849915791819,,,,0.5870635888492501,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b16_mb4_ga4_e10/checkpoint-3/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b16_mb4_ga4_e10/checkpoint-3/evals/TOFU_EVAL.json
forget01,Llama-2-7b-chat-hf,NPO,lr1e-4_b16_mb4_ga4_e10,1e-4,16,4,4,10,checkpoint-6,6,0.006760732303569208,0.498667364624,0.4546951465308666,0.03292437815068278,0.6630033579134096,,,,0.26161833458679445,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b16_mb4_ga4_e10/checkpoint-6/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b16_mb4_ga4_e10/checkpoint-6/evals/TOFU_EVAL.json
forget01,Llama-2-7b-chat-hf,NPO,lr1e-4_b16_mb4_ga4_e10,1e-4,16,4,4,10,checkpoint-9,9,0.003018184077228396,0.5080199004716021,0.4433679886162281,0.033755261331378225,0.6446669683328468,,,,0.27247645957502736,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b16_mb4_ga4_e10/checkpoint-9/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b16_mb4_ga4_e10/checkpoint-9/evals/TOFU_EVAL.json
forget01,Llama-2-7b-chat-hf,NPO,lr1e-4_b16_mb4_ga4_e10,1e-4,16,4,4,10,checkpoint-12,12,0.0012708143485281624,0.5107795104456102,0.44487265050411223,0.03293558920023069,0.6527741531101283,,,,0.2731462049419669,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b16_mb4_ga4_e10/checkpoint-12/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b16_mb4_ga4_e10/checkpoint-12/evals/TOFU_EVAL.json
forget01,Llama-2-7b-chat-hf,NPO,lr1e-4_b16_mb4_ga4_e10,1e-4,16,4,4,10,checkpoint-15,15,0.003018184077228396,0.5103668780143811,0.4475774891674519,0.03361126487590636,0.6589087753315528,,,,0.27279068506993037,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b16_mb4_ga4_e10/checkpoint-15/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b16_mb4_ga4_e10/checkpoint-15/evals/TOFU_EVAL.json
forget01,Llama-2-7b-chat-hf,NPO,lr1e-4_b16_mb4_ga4_e10,1e-4,16,4,4,10,checkpoint-18,18,0.003018184077228396,0.5125347589133508,0.45085966512560843,0.03405769344733493,0.659321113802873,,,,0.2730942637041075,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b16_mb4_ga4_e10/checkpoint-18/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b16_mb4_ga4_e10/checkpoint-18/evals/TOFU_EVAL.json
forget01,Llama-2-7b-chat-hf,NPO,lr1e-4_b16_mb4_ga4_e10,1e-4,16,4,4,10,checkpoint-20,20,0.003018184077228396,0.5129511562224193,0.45012332648038866,0.034578526780668264,0.659241509388834,,,,0.2736184136691192,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b16_mb4_ga4_e10/checkpoint-20/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b16_mb4_ga4_e10/checkpoint-20/evals/TOFU_EVAL.json
forget01,Llama-2-7b-chat-hf,NPO,lr1e-4_b32_mb8_ga4_e10,1e-4,32,8,4,10,checkpoint-2,2,0.7659314523482239,0.49976352921626976,0.6189182482659816,0.06777639343626743,0.7304275195251227,,,,0.922347660713369,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b32_mb8_ga4_e10/checkpoint-2/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b32_mb8_ga4_e10/checkpoint-2/evals/TOFU_EVAL.json
forget01,Llama-2-7b-chat-hf,NPO,lr1e-4_b32_mb8_ga4_e10,1e-4,32,8,4,10,checkpoint-4,4,0.01430154804770646,0.46990537994450937,0.5103052377700805,0.03262544209174191,0.7510544356338716,,,,0.2127415880613046,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b32_mb8_ga4_e10/checkpoint-4/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b32_mb8_ga4_e10/checkpoint-4/evals/TOFU_EVAL.json
forget01,Llama-2-7b-chat-hf,NPO,lr1e-4_b32_mb8_ga4_e10,1e-4,32,8,4,10,checkpoint-6,6,0.01430154804770646,0.5071672089646847,0.5003942921757698,0.033307735537575524,0.7021603098866767,,,,0.2546177431557185,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b32_mb8_ga4_e10/checkpoint-6/evals/TOFU_SUMMARY.json,saves/unlearn/tofu/forget01/Llama-2-7b-chat-hf/NPO/lr1e-4_b32_mb8_ga4_e10/checkpoint-6/evals/TOFU_EVAL.json
